Item,Binomial (Alphabetical),word1,word2,Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
15,activities and places,activities,places,The many activities and places available to Ronnie meant that he was never bored.,The many places and activities available to Ronnie meant that he was never bored.,test sentence,test sentence2,Stimuli/all_parts_combined_He_caught_up_with_his_friends_after_being_away_for_a_month_.wav,placeholder question
16,activity and nature,activity,nature,"Timothy thought that he didn't have enough activity and nature in his life, so he decided to get out more.","Timothy thought that he didn't have enough nature and activity in his life, so he decided to get out more.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_keep_reading_the_latest_news_and_updates_.wav,placeholder question
17,actresses and lumberjacks,actresses,lumberjacks,Sheila had become accustomed to seeing actresses and lumberjacks around town.,Sheila had become accustomed to seeing lumberjacks and actresses around town.,test sentence,test sentence2,Stimuli/all_parts_combined_The_traffic_delayed_our_arrival_to_the_party_.wav,placeholder question
18,actresses and lumberjacks,actresses,lumberjacks,The number of actresses and lumberjacks living in this neighborhood never ceases to surprise me.,The number of lumberjacks and actresses living in this neighborhood never ceases to surprise me.,test sentence,test sentence2,Stimuli/all_parts_combined_We_expected_him_to_show_up__but_he_never_came_.wav,placeholder question
19,actresses and lumberjacks,actresses,lumberjacks,This bar is popular among the actresses and lumberjacks who live in the neighborhood.,This bar is popular among the lumberjacks and actresses who live in the neighborhood.,test sentence,test sentence2,Stimuli/all_parts_combined_I_need_to_arrive_early_tomorrow_for_an_important_meeting_.wav,placeholder question
20,address and name,address,name,Mary needed the landlord's address and name before she could send her first rent check.,Mary needed the landlord's name and address before she could send her first rent check.,test sentence,test sentence2,Stimuli/all_parts_combined_Over_the_years__they_built_up_a_successful_business_.wav,placeholder question
21,address and name,address,name,The clerk asked for Melissa's address and name in order to complete the form.,The clerk asked for Melissa's name and address in order to complete the form.,test sentence,test sentence2,Stimuli/all_parts_combined_Please_be_quiet_and_let_me_finish_my_sentence.wav,placeholder question
22,address and name,address,name,"The post office was not sure what to do with the child's letter, as the address and name were both illegible.","The post office was not sure what to do with the child's letter, as the name and address were both illegible.",test sentence,test sentence2,Stimuli/all_parts_combined_She_hung_up_the_phone_and_sighed_in_frustration_.wav,placeholder question
23,addresses and names,addresses,names,The company collected hundreds of addresses and names for a petition they wanted to pass in June.,The company collected hundreds of names and addresses for a petition they wanted to pass in June.,test sentence,test sentence2,Stimuli/all_parts_combined_She_helped_the_girl_so_she_d_stop_crying.wav,placeholder question
24,adventure and romance,adventure,romance,The movie had a great balance of adventure and romance which made it a great success.,The movie had a great balance of romance and adventure which made it a great success.,test sentence,test sentence2,Stimuli/all_parts_combined_They_opened_up_the_container_despite_the_warnings_it_was_dangerous_.wav,placeholder question
25,Africa and Asia,Africa,Asia,My colleague wanted to visit Africa and Asia this year for a vacation with her husband.,My colleague wanted to visit Asia and Africa this year for a vacation with her husband.,test sentence,test sentence2,Stimuli/all_parts_combined_The_contract_was_revised_and_signed_by_both_parties_.wav,placeholder question
26,age and day,age,day,Amanda said that in this age and day you need to be tech-savy.,Amanda said that in this day and age you need to be tech-savy.,test sentence,test sentence2,Stimuli/all_parts_combined_He_pulled_up_a_chair_and_joined_the_conversation_.wav,placeholder question
27,agencies and individuals,agencies,individuals,Many different agencies and individuals worked together on this project.,Many different individuals and agencies worked together on this project.,test sentence,test sentence2,Stimuli/all_parts_combined_They_increased_the_volume_to_enjoy_their_favorite_song_.wav,placeholder question
28,aggression and hostility,aggression,hostility,"Sasha felt aggression and hostility towards her brother, so she tried to avoid him.","Sasha felt hostility and aggression towards her brother, so she tried to avoid him.",test sentence,test sentence2,Stimuli/all_parts_combined_I_walked_up_the_stairs_to_reach_the_top_floor_.wav,placeholder question
29,agreements and contracts,agreements,contracts,Tony had to deal with many agreements and contracts before he officially started working at the company.,Tony had to deal with many contracts and agreements before he officially started working at the company.,test sentence,test sentence2,Stimuli/all_parts_combined_To_conclude__I_summed_up_the_main_points_of_my_presentation_.wav,placeholder question
30,aircraft and ships,aircraft,ships,The new aircraft and ships ended up being extremely expensive.,The new ships and aircraft ended up being extremely expensive.,test sentence,test sentence2,Stimuli/all_parts_combined_The_couple_decided_to_end_things_after_years_of_being_together_.wav,placeholder question
31,alibis and excuses,alibis,excuses,The student was always full of alibis and excuses for why she didn't come to class.,The student was always full of excuses and alibis for why she didn't come to class.,test sentence,test sentence2,Stimuli/all_parts_combined_The_students_lined_up_outside_the_classroom_before_the_bell_rang_.wav,placeholder question
32,alive and well,alive,well,Deborah's grandmother was alive and well despite having a heart attack at 78 years old.,Deborah's grandmother was well and alive despite having a heart attack at 78 years old.,test sentence,test sentence2,Stimuli/all_parts_combined_She_took_care_of_all_the_loose_ends_before_going_for_a_run_.wav,placeholder question
33,alive and well,alive,well,Sarah was relieved to find that her friends were alive and well after the car crash.,Sarah was relieved to find that her friends were well and alive after the car crash.,test sentence,test sentence2,Stimuli/all_parts_combined_Let_s_clean_up_the_kitchen_before_guests_arrive_.wav,placeholder question
34,alive and well,alive,well,Shima was finally feeling alive and well again after being sick for the past week.,Shima was finally feeling well and alive again after being sick for the past week.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fireworks_lit_the_night_sky_with_vibrant_colors_.wav,placeholder question
35,allergic and unaccustomed,allergic,unaccustomed,"Because Jim was allergic and unaccustomed to elderberries, he was careful to avoid them.","Because Jim was unaccustomed and allergic to elderberries, he was careful to avoid them.",test sentence,test sentence2,Stimuli/all_parts_combined_The_dog_jumped_and_greeted_its_owner_with_excitement_.wav,placeholder question
36,allergic and unaccustomed,allergic,unaccustomed,"It was unfortunate that Jeffrey was allergic and unaccustomed to the weather in the city, as he had been looking forward to the trip.","It was unfortunate that Jeffrey was unaccustomed and allergic to the weather in the city, as he had been looking forward to the trip.",test sentence,test sentence2,Stimuli/all_parts_combined_The_numbers_don_t_add_up__there_must_be_a_mistake_.wav,placeholder question
37,allergic and unaccustomed,allergic,unaccustomed,Jack guessed that he must be allergic and unaccustomed to something in this new climate and resolved never to travel again.,Jack guessed that he must be unaccustomed and allergic to something in this new climate and resolved never to travel again.,test sentence,test sentence2,Stimuli/all_parts_combined_He_strives_to_live_up_to_his_parents__expectations_.wav,placeholder question
38,ammo and weapons,ammo,weapons,The military has ammo and weapons readily available to them.,The military has weapons and ammo readily available to them.,test sentence,test sentence2,Stimuli/all_parts_combined_The_army_decided_to_pair_the_air_assault_with_a_ground_invasion_.wav,placeholder question
39,ammunition and guns,ammunition,guns,The old man kept ammunition and guns locked away in his basement in case of a zombie invasion.,The old man kept guns and ammunition locked away in his basement in case of a zombie invasion.,test sentence,test sentence2,Stimuli/all_parts_combined_The_events_preceding_the_accident_were_unclear_.wav,placeholder question
40,anger and anxiety,anger,anxiety,Anne felt anger and anxiety whenever she was stuck in traffic.,Anne felt anxiety and anger whenever she was stuck in traffic.,test sentence,test sentence2,Stimuli/all_parts_combined_She_bound_up_her_hair_to_keep_it_out_of_her_face_.wav,placeholder question
41,anger and fear,anger,fear,The abused dog showed both anger and fear when animal control came to pick him up.,The abused dog showed both fear and anger when animal control came to pick him up.,test sentence,test sentence2,Stimuli/all_parts_combined_They_fixed_the_clock_before_going_to_bed_.wav,placeholder question
42,anger and hatred,anger,hatred,Michelle felt a lot of anger and hatred towards her brother when he crashed her car.,Michelle felt a lot of hatred and anger towards her brother when he crashed her car.,test sentence,test sentence2,Stimuli/all_parts_combined_The_thief_was_locked_up_in_jail_for_his_crimes_.wav,placeholder question
43,anger and indignation,anger,indignation,Amber felt anger and indignation after arguing with her sister.,Amber felt indignation and anger after arguing with her sister.,test sentence,test sentence2,Stimuli/all_parts_combined_The_crowd_rose_up_and_cheered_for_their_favorite_team_.wav,placeholder question
44,anger and spite,anger,spite,George felt anger and spite towards his ex-best friend.,George felt spite and anger towards his ex-best friend.,test sentence,test sentence2,Stimuli/all_parts_combined_The_car_reversed_to_make_space_for_the_delivery_truck_.wav,placeholder question
45,anguish and pain,anguish,pain,His injury caused him a lot of anguish and pain and a long recovery.,His injury caused him a lot of pain and anguish and a long recovery.,test sentence,test sentence2,Stimuli/all_parts_combined_The_flowers_bloomed_after_a_heavy_rainstorm_.wav,placeholder question
46,anguish and rage,anguish,rage,She felt anguish and rage after learning that her dog had died.,She felt rage and anguish after learning that her dog had died.,test sentence,test sentence2,Stimuli/all_parts_combined_She_ran_up_the_stairs_to_catch_the_train_.wav,placeholder question
47,annoying and teal,annoying,teal,"Since moving into the new house, the man has been plagued by an annoying and teal bird that causes a racket in the mornings.","Since moving into the new house, the man has been plagued by an teal and annoying bird that causes a racket in the mornings.",test sentence,test sentence2,Stimuli/all_parts_combined_Please_wind_up_the_hose_and_put_it_away_.wav,placeholder question
48,annoying and teal,annoying,teal,The snobby neighborhood thought that the annoying and teal house on the corner should be repainted.,The snobby neighborhood thought that the teal and annoying house on the corner should be repainted.,test sentence,test sentence2,Stimuli/all_parts_combined_He_fixed_his_sleeves_and_started_working_.wav,placeholder question
49,annoying and teal,annoying,teal,My cousin's new talking and singing toy is annoying and teal according to my aunt.,My cousin's new talking and singing toy is teal and annoying according to my aunt.,test sentence,test sentence2,Stimuli/all_parts_combined_I_looked_away_from_my_book_and_saw_her_entering_the_room_.wav,placeholder question
50,anthropology and psychology,anthropology,psychology,He has figured out that anthropology and psychology are the subjects he wants to study in college.,He has figured out that psychology and anthropology are the subjects he wants to study in college.,test sentence,test sentence2,Stimuli/all_parts_combined_He_lifted_up_the_box_with_great_effort_.wav,placeholder question
51,anxiety and dismay,anxiety,dismay,Josh was filled with anxiety and dismay and didn't know what to do about it.,Josh was filled with dismay and anxiety and didn't know what to do about it.,test sentence,test sentence2,Stimuli/all_parts_combined_They_shacked_up_in_a_cozy_cabin_for_the_weekend_.wav,placeholder question
52,apprehension and fear,apprehension,fear,Charlie felt apprehension and fear before jumping out of the plane to skydive.,Charlie felt fear and apprehension before jumping out of the plane to skydive.,test sentence,test sentence2,Stimuli/all_parts_combined_The_cat_remained_stressed_out_in_the_house_during_the_storm_.wav,placeholder question
53,apprehension and terror,apprehension,terror,Nora felt apprehension and terror about leaving everyone she knows to move to the other side of the world.,Nora felt terror and apprehension about leaving everyone she knows to move to the other side of the world.,test sentence,test sentence2,Stimuli/all_parts_combined_He_clammed_up_and_refused_to_answer_any_questions_.wav,placeholder question
54,archaeologists and geologists,archaeologists,geologists,They consulted archaeologists and geologists for the documentary they were making.,They consulted geologists and archaeologists for the documentary they were making.,test sentence,test sentence2,Stimuli/all_parts_combined_She_s_cleaning_her_apartment_before_the_guests_arrive_.wav,placeholder question
55,arches and piers,arches,piers,Tamara learned how to properly design arches and piers in her architecture class.,Tamara learned how to properly design piers and arches in her architecture class.,test sentence,test sentence2,Stimuli/all_parts_combined_After_a_nap__she_exercised_and_felt_more_energetic_.wav,placeholder question
56,argument and debate,argument,debate,The couple's argument and debate over what to have for dinner lasted an hour.,The couple's debate and argument over what to have for dinner lasted an hour.,test sentence,test sentence2,Stimuli/all_parts_combined_She_dolled_up_for_the_party__wearing_a_fancy_dress_.wav,placeholder question
57,Arizona and California,Arizona,California,The high school students visited both Arizona and California to tour colleges before they applied.,The high school students visited both California and Arizona to tour colleges before they applied.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_beefing_up_security_in_the_building_after_recent_incidents_.wav,placeholder question
58,arm and back,arm,back,Maddy injured her arm and back during her basketball game last week.,Maddy injured her back and arm during her basketball game last week.,test sentence,test sentence2,Stimuli/all_parts_combined_Finally__he_snapped_out_of_it_and_realized_the_truth_.wav,placeholder question
59,arms and faces,arms,faces,Paul noticed that the arms and faces of his figurines could use some new paint.,Paul noticed that the faces and arms of his figurines could use some new paint.,test sentence,test sentence2,Stimuli/all_parts_combined_The_magician_pulled_out_a_rabbit_from_his_hat_.wav,placeholder question
60,arms and hands,arms,hands,Both Chelsea's arms and hands are scraped up from falling off her bike.,Both Chelsea's hands and arms are scraped up from falling off her bike.,test sentence,test sentence2,Stimuli/all_parts_combined_They_shored_up_the_building_s_foundation_to_prevent_further_damage_.wav,placeholder question
61,arms and legs,arms,legs,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.,test sentence,test sentence2,Stimuli/all_parts_combined_He_ruined_the_recipe_by_adding_too_much_salt_.wav,placeholder question
62,arrangers and composers,arrangers,composers,The work of many arrangers and composers went into producing the soundtrack.,The work of many composers and arrangers went into producing the soundtrack.,test sentence,test sentence2,Stimuli/all_parts_combined_Tears_welled_up_in_her_eyes_as_she_listened_to_the_sad_news_.wav,placeholder question
63,artist and critic,artist,critic,Lisa was both the artist and critic who worked on the magazine.,Lisa was both the critic and artist who worked on the magazine.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fugitive_hid_in_a_remote_cabin_to_avoid_capture.wav,placeholder question
64,arts and crafts,arts,crafts,Lilly enjoys doing arts and crafts to relax when she is stressed.,Lilly enjoys doing crafts and arts to relax when she is stressed.,test sentence,test sentence2,Stimuli/all_parts_combined_She_conjured_up_a_brilliant_idea_during_the_brainstorming_session_.wav,placeholder question
65,arts and sciences,arts,sciences,"Jessica couldn't decide between studying arts and sciences in college, so she studied both.","Jessica couldn't decide between studying sciences and arts in college, so she studied both.",test sentence,test sentence2,Stimuli/all_parts_combined_I_m_tidying_up_my_room_before_guests_come_over_.wav,placeholder question
66,arts and sciences,arts,sciences,Joseph had a keen interest in both the arts and sciences developed in ancient Rome.,Joseph had a keen interest in both the sciences and arts developed in ancient Rome.,test sentence,test sentence2,Stimuli/all_parts_combined_They_worked_together_to_solve_the_challenging_puzzle.wav,placeholder question
67,arts and sciences,arts,sciences,Most universities have programs in the arts and sciences in addition to having various professional schools.,Most universities have programs in the sciences and arts in addition to having various professional schools.,test sentence,test sentence2,Stimuli/all_parts_combined_The_kids_devoured_all_the_cookies_in_minutes_.wav,placeholder question
68,arts and sciences,arts,sciences,"Carol couldn't decide between arts and sciences when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between sciences and arts when applying for college majors, so she chose an interdisciplinary route.",test sentence,test sentence2,Stimuli/all_parts_combined_He_freshened_up_before_going_out_on_a_date_.wav,placeholder question
69,ash and maple,ash,maple,Hank saw many ash and maple trees while on his hike.,Hank saw many maple and ash trees while on his hike.,test sentence,test sentence2,Stimuli/all_parts_combined_The_engine_turned_on_as_the_race_was_about_to_start_.wav,placeholder question
70,associations and enterprises,associations,enterprises,She dealt with different associations and enterprises in her line of work.,She dealt with different enterprises and associations in her line of work.,test sentence,test sentence2,Stimuli/all_parts_combined_The_dangerous_waves_roughed_up_the_boat__making_it_difficult_to_navigate_.wav,placeholder question
71,assurance and dignity,assurance,dignity,Richard tried to portray assurance and dignity at work but didn't know if he succeeded.,Richard tried to portray dignity and assurance at work but didn't know if he succeeded.,test sentence,test sentence2,Stimuli/all_parts_combined_The_papers_were_stacked_on_his_desk__creating_a_mess_.wav,placeholder question
72,astronomy and geology,astronomy,geology,Richard hated astronomy and geology so he avoided taking any classes in these subjects.,Richard hated geology and astronomy so he avoided taking any classes in these subjects.,test sentence,test sentence2,Stimuli/all_parts_combined_The_prices_jacked_up_overnight__causing_frustration_among_consumers_.wav,placeholder question
73,attention and civility,attention,civility,Jane's mom said the lack of attention and civility made her very disappointed.,Jane's mom said the lack of civility and attention made her very disappointed.,test sentence,test sentence2,Stimuli/all_parts_combined_He_bombed_the_interview_by_making_multiple_mistakes_.wav,placeholder question
74,attitude and experience,attitude,experience,Both Jerry's attitude and experience made him an excellent candidate for the job.,Both Jerry's experience and attitude made him an excellent candidate for the job.,test sentence,test sentence2,Stimuli/all_parts_combined_She_chalked_up_another_victory_in_her_sports_career_.wav,placeholder question
75,attractions and repulsions,attractions,repulsions,He experienced both attractions and repulsions which made him very confused.,He experienced both repulsions and attractions which made him very confused.,test sentence,test sentence2,Stimuli/all_parts_combined_He_grabbed_a_handful_of_sand_and_threw_it_into_the_water_.wav,placeholder question
76,aunt and uncle,aunt,uncle,"Over the summer, Steve stayed with his aunt and uncle at their vacation home near the beach.","Over the summer, Steve stayed with his uncle and aunt at their vacation home near the beach.",test sentence,test sentence2,Stimuli/all_parts_combined_The_controversial_statement_riled_up_the_crowd__sparking_a_heated_debate_.wav,placeholder question
77,aunts and uncles,aunts,uncles,The family reunion had all the aunts and uncles together in one room.,The family reunion had all the uncles and aunts together in one room.,test sentence,test sentence2,Stimuli/all_parts_combined_The_pillows_supported_her_back__providing_comfort_.wav,placeholder question
78,authority and force,authority,force,They said that Richard's authority and force made him effective at his job.,They said that Richard's force and authority made him effective at his job.,test sentence,test sentence2,Stimuli/all_parts_combined_The_flowers_sprung_up_after_a_long_winter_.wav,placeholder question
79,authority and independence,authority,independence,"Victor wanted more authority and independence, so he worked towards a promotion.","Victor wanted more independence and authority, so he worked towards a promotion.",test sentence,test sentence2,Stimuli/all_parts_combined_The_cleaners_were_busy_mopping_up_the_remaining_dirt_.wav,placeholder question
80,azaleas and camellias,azaleas,camellias,He bought his wife a bouquet of azaleas and camellias for Mother's Day this year.,He bought his wife a bouquet of camellias and azaleas for Mother's Day this year.,test sentence,test sentence2,Stimuli/all_parts_combined_They_blocked_the_entrance__preventing_anyone_from_entering_.wav,placeholder question
81,back and behind,back,behind,She washed the baby's back and behind in the bath tub before putting him to bed.,She washed the baby's behind and back in the bath tub before putting him to bed.,test sentence,test sentence2,Stimuli/all_parts_combined_Cluttering_up_the_room_with_unnecessary_items_makes_it_difficult_to_find_things_.wav,placeholder question
82,back and hips,back,hips,Jon went to a chiropractic office to get his back and hips checked out by a professional.,Jon went to a chiropractic office to get his hips and back checked out by a professional.,test sentence,test sentence2,Stimuli/all_parts_combined_The_injured_athlete_was_bandaged_up_and_taken_to_the_hospital_.wav,placeholder question
83,back and shoulders,back,shoulders,Anthony got his back and shoulders adjusted by the chiropractor.,Anthony got his shoulders and back adjusted by the chiropractor.,test sentence,test sentence2,Stimuli/all_parts_combined_She_curled_up_on_the_couch_with_a_good_book_.wav,placeholder question
84,background and intelligence,background,intelligence,Nolan had the background and intelligence to be a great teacher.,Nolan had the intelligence and background to be a great teacher.,test sentence,test sentence2,Stimuli/all_parts_combined_During_the_bar_fight__one_man_injured_his_arm_.wav,placeholder question
85,background and interest,background,interest,He thought that Eduardo's background and interest in cooking would make him perfect for the personal chef role.,He thought that Eduardo's interest and background in cooking would make him perfect for the personal chef role.,test sentence,test sentence2,Stimuli/all_parts_combined_The_company_has_not_yet_decided_its_plans_for_expansion_.wav,placeholder question
86,backwards and forwards,backwards,forwards,Soccer players practice running both backwards and forwards in order to stay nimble.,Soccer players practice running both forwards and backwards in order to stay nimble.,test sentence,test sentence2,Stimuli/all_parts_combined_Under_the_scorching_sun__the_grapes_shrivel_up_and_turn_into_raisins_.wav,placeholder question
87,backwards and forwards,backwards,forwards,The driver had to move backwards and forwards many times to get the large truck into the parking spot properly.,The driver had to move forwards and backwards many times to get the large truck into the parking spot properly.,test sentence,test sentence2,Stimuli/all_parts_combined_He_cranked_up_the_volume_and_jammed_out_to_his_favorite_song_.wav,placeholder question
88,backwards and forwards,backwards,forwards,The little girl rocked backwards and forwards on the swing at the park.,The little girl rocked forwards and backwards on the swing at the park.,test sentence,test sentence2,Stimuli/all_parts_combined_Their_spirits_were_lifted_for_the_upcoming_challenge_by_the_success_of_their_previous_project_.wav,placeholder question
89,bacon and coffee,bacon,coffee,Sara found out that bacon and coffee was a combination she did not like.,Sara found out that coffee and bacon was a combination she did not like.,test sentence,test sentence2,Stimuli/all_parts_combined_To_keep_warm_during_the_cold_winter_night__they_snuggle_up_in_a_cozy_blanket_.wav,placeholder question
90,bacon and eggs,bacon,eggs,"On the days Lilly doesn't have work, she makes bacon and eggs for breakfast and reads the paper.","On the days Lilly doesn't have work, she makes eggs and bacon for breakfast and reads the paper.",test sentence,test sentence2,Stimuli/all_parts_combined_He_tightened_his_fists_and_shook_them_.wav,placeholder question
91,bacteria and candy,bacteria,candy,All that was left of the girl's Halloween candy was a mess of bacteria and candy after the dog got into her bag.,All that was left of the girl's Halloween candy was a mess of candy and bacteria after the dog got into her bag.,test sentence,test sentence2,Stimuli/all_parts_combined_As_the_car_accelerates_down_the_highway__it_is_speeding_up_.wav,placeholder question
92,bacteria and candy,bacteria,candy,Leah reached into the bowl of bacteria and candy as she sat in the doctor's office waiting room.,Leah reached into the bowl of candy and bacteria as she sat in the doctor's office waiting room.,test sentence,test sentence2,Stimuli/all_parts_combined_The_river_overflowed_onto_the_streets_as_debris_blocked_the_flow_.wav,placeholder question
93,bacteria and candy,bacteria,candy,The dentist told Sally that bacteria and candy would rot her teeth.,The dentist told Sally that candy and bacteria would rot her teeth.,test sentence,test sentence2,Stimuli/all_parts_combined_If_he_wants_to_survive_in_such_a_competitive_environment__he_needs_to_get_tough_.wav,placeholder question
94,bacteria and insects,bacteria,insects,Xander was afraid of bacteria and insects so he spent most of his time inside his house.,Xander was afraid of insects and bacteria so he spent most of his time inside his house.,test sentence,test sentence2,Stimuli/all_parts_combined_She_dished_up_a_delicious_meal_to_her_family_.wav,placeholder question
95,bandits and outlaws,bandits,outlaws,She watched an old western movie about bandits and outlaws with both of her roommates.,She watched an old western movie about outlaws and bandits with both of her roommates.,test sentence,test sentence2,Stimuli/all_parts_combined_After_receiving_recognition_for_his_accomplishments__his_pride_puffed_up_.wav,placeholder question
96,bar and grill,bar,grill,We went to a bar and grill in the city last night.,We went to a grill and bar in the city last night.,test sentence,test sentence2,Stimuli/all_parts_combined_She_tossed_the_crumpled_piece_of_paper_into_the_bin_.wav,placeholder question
97,barges and towboats,barges,towboats,The ocean was filled with barges and towboats so Mara didn't want to go in the water.,The ocean was filled with towboats and barges so Mara didn't want to go in the water.,test sentence,test sentence2,Stimuli/all_parts_combined_Before_entering_the_important_meeting__he_straightens_up_his_tie_.wav,placeholder question
98,barley and oats,barley,oats,Susanne prepared barley and oats for breakfast everyday for a week.,Susanne prepared oats and barley for breakfast everyday for a week.,test sentence,test sentence2,Stimuli/all_parts_combined_During_the_brainstorming_session__she_thought_of_an_idea_.wav,placeholder question
99,barrels and boxes,barrels,boxes,There were a lot of barrels and boxes that needed to be moved before the event could start.,There were a lot of boxes and barrels that needed to be moved before the event could start.,test sentence,test sentence2,Stimuli/all_parts_combined_The_accusations_against_him_were_baseless_and_trumped_up_.wav,placeholder question
100,bathrobe and slippers,bathrobe,slippers,Kyle refused to leave his bathrobe and slippers at home when he travelled anywhere.,Kyle refused to leave his slippers and bathrobe at home when he travelled anywhere.,test sentence,test sentence2,Stimuli/all_parts_combined_The_sponge_absorbs_the_spilled_liquid_from_the_countertop_.wav,placeholder question
101,battle and bloodshed,battle,bloodshed,The soldiers blamed the battle and bloodshed on many different politicians.,The soldiers blamed the bloodshed and battle on many different politicians.,test sentence,test sentence2,Stimuli/all_parts_combined_The_computer_started_to_break_again__freezing_unexpectedly_.wav,placeholder question
102,beautiful and stinky,beautiful,stinky,The doll was beautiful and stinky after Jenny pulled it out of the trash.,The doll was stinky and beautiful after Jenny pulled it out of the trash.,test sentence,test sentence2,Stimuli/all_parts_combined_After_being_threatened_with_legal_action__he_coughed_up_the_money_he_owed_.wav,placeholder question
103,beautiful and stinky,beautiful,stinky,The elephants at the zoo were beautiful and stinky so the children loved them.,The elephants at the zoo were stinky and beautiful so the children loved them.,test sentence,test sentence2,Stimuli/all_parts_combined_She_is_offering_her_services_to_assist_with_the_project_.wav,placeholder question
104,beautiful and stinky,beautiful,stinky,The gardener was dismayed to learn that he had planted some flowers that were both beautiful and stinky alongside the rest of his plants.,The gardener was dismayed to learn that he had planted some flowers that were both stinky and beautiful alongside the rest of his plants.,test sentence,test sentence2,Stimuli/all_parts_combined_He_was_known_for_quickly_matching_up_the_puzzle_pieces__easily_forming_the_complete_picture_.wav,placeholder question
105,beauty and brains,beauty,brains,Her mom says she has beauty and brains among many other things.,Her mom says she has brains and beauty among many other things.,test sentence,test sentence2,Stimuli/all_parts_combined_They_lit_the_grill_to_prepare_a_delicious_barbecue_.wav,placeholder question
106,beauty and color,beauty,color,The women at the store complimented the beauty and color of the girl's hair.,The women at the store complimented the color and beauty of the girl's hair.,test sentence,test sentence2,Stimuli/all_parts_combined_Whenever_she_reviews_the_previous_messages_in_the_chat_conversation_she_often_will_scroll_up_.wav,placeholder question
